"","place","year","regions","word","regions_type","observed","estimated","intensity","scale","color"
"1","Süddeutsche Zeitung (DEU)","2023","ORG_EUR_League","Europea League","ORG",12,"5.84724669774177","2.05224794169099","++","#EF8A62"
"2","Süddeutsche Zeitung (DEU)","2023","CON_EUR","Europe","CON",41,"83.3649486264927","0.491813414096804","-","#D1E5F0"
"3","Süddeutsche Zeitung (DEU)","2023","ORG_EUR_EU","EU","ORG",162,"125.964077802834","1.28608094327949","+","#FDDBC7"
"4","Süddeutsche Zeitung (DEU)","2023","OTH_EUR_alpen","Alps","OTH",10,"5.91068550492323","1.6918511383613","+","#FDDBC7"
"5","Süddeutsche Zeitung (DEU)","2023","CON_ASI","Asia","CON",3,"11.3239794136953","0.264924536719996","-","#D1E5F0"
"6","Süddeutsche Zeitung (DEU)","2023","ORG_XXX_NATO","NATO","ORG",47,"18.7315521181922","2.50913537241547","++","#EF8A62"
"7","Süddeutsche Zeitung (DEU)","2023","CON_ASI_east","East Asia","CON",9,"0.48794836648145","18.4445745046718","+++","#B2182B"
"8","Süddeutsche Zeitung (DEU)","2023","CON_AFR","Africa","CON",6,"28.0693899375696","0.213755981634972","-","#D1E5F0"
"9","Süddeutsche Zeitung (DEU)","2014","ORG_EUR_EU","EU","ORG",1971,"1502.07600577367","1.31218393238683","+","#FDDBC7"
"10","Süddeutsche Zeitung (DEU)","2014","CON_EUR","Europe","CON",890,"994.096819018603","0.895285029559425","-","#D1E5F0"
"11","Süddeutsche Zeitung (DEU)","2023","OTH_SEA_mediterranean","Mediterranean","OTH",22,"13.5928268096413","1.61850072160086","+","#FDDBC7"
"12","Süddeutsche Zeitung (DEU)","2023","OTH_ASI_middle_east","Mid East","OTH",1,"10.2857791543895","0.0972216090769598","-","#D1E5F0"
"13","Süddeutsche Zeitung (DEU)","2014","CON_EUR_west","West Europe","CON",8,"15.1870390468674","0.526764958943735","-","#D1E5F0"
"14","Süddeutsche Zeitung (DEU)","2023","OTH_SEA_arctic","Arctic","OTH",1,"1.7821170072724","0.561130383650029","-","#D1E5F0"
"15","Süddeutsche Zeitung (DEU)","2013","CON_EUR","Europe","CON",533,"583.021068781391","0.914203668683976","-","#D1E5F0"
"16","Süddeutsche Zeitung (DEU)","2014","ORG_EUR_League","Europea League","ORG",86,"69.7262990982626","1.23339401505884","+","#FDDBC7"
"17","Süddeutsche Zeitung (DEU)","2014","OTH_EUR_alpen","Alps","OTH",69,"70.4827838974553","0.978962466925078","-","#D1E5F0"
"18","Süddeutsche Zeitung (DEU)","2014","ORG_ERA_ECO","ECO","ORG",4,"2.1339980619008","1.87441594789318","+","#FDDBC7"
"19","Süddeutsche Zeitung (DEU)","2014","CON_EUR_east","Eastern Europe","CON",52,"33.2957950796751","1.56175877090686","+","#FDDBC7"
"20","Süddeutsche Zeitung (DEU)","2013","ORG_EUR_EU","EU","ORG",1308,"880.942320227522","1.48477371329167","+","#FDDBC7"
"21","Süddeutsche Zeitung (DEU)","2014","CON_AFR_centr","Central Africa","CON",35,"8.95001671211107","3.91060722296064","++","#EF8A62"
"22","Süddeutsche Zeitung (DEU)","2014","OTH_EUR_balkan","Balkans","OTH",26,"34.3720109476909","0.756429411114996","-","#D1E5F0"
"23","Süddeutsche Zeitung (DEU)","2014","CON_ANT","Antarctica","CON",22,"13.5819319945995","1.6197990100928","+","#FDDBC7"
"24","Süddeutsche Zeitung (DEU)","2014","OTH_SEA_mediterranean","Mediterranean","OTH",74,"162.089536616604","0.45653779722398","-","#D1E5F0"
"25","Süddeutsche Zeitung (DEU)","2014","OTH_SEA_arctic","Arctic","OTH",10,"21.2510998595571","0.470563879803275","-","#D1E5F0"
"26","Süddeutsche Zeitung (DEU)","2014","ORG_XXX_NATO","NATO","ORG",416,"223.366974763041","1.86240602685922","+","#FDDBC7"
"27","Süddeutsche Zeitung (DEU)","2013","OTH_AMR_carai","Caribbean","OTH",9,"16.2884765250632","0.552537862344072","-","#D1E5F0"
"28","Süddeutsche Zeitung (DEU)","2014","CON_AFR","Africa","CON",128,"334.717308754668","0.382412252525065","-","#D1E5F0"
"29","Süddeutsche Zeitung (DEU)","2014","ORG_EUR_council","Council of Europe","ORG",7,"15.1736066518332","0.461327366697903","-","#D1E5F0"
"30","Süddeutsche Zeitung (DEU)","2014","CON_AFR_west","West Africa","CON",102,"28.1461992716296","3.62393511875731","++","#EF8A62"
"31","Süddeutsche Zeitung (DEU)","2014","CON_AFR_east","East Africa","CON",4,"7.74823169829461","0.516246823243606","-","#D1E5F0"
"32","Süddeutsche Zeitung (DEU)","2014","OTH_ASI_middle_east","Mid East","OTH",103,"122.654191083578","0.839759319188815","-","#D1E5F0"
"33","Süddeutsche Zeitung (DEU)","2013","CON_EUR_south","Southern Europe","CON",10,"3.53933975609508","2.82538571855925","++","#EF8A62"
"34","Süddeutsche Zeitung (DEU)","2014","OTH_AFR_sahara","Sahara","OTH",8,"14.2879901218407","0.559910801433935","-","#D1E5F0"
"35","Süddeutsche Zeitung (DEU)","2014","CON_AMR_latin","Latin America","CON",15,"32.5180496169493","0.461282277894723","-","#D1E5F0"
"36","Süddeutsche Zeitung (DEU)","2014","OTH_ASI_himalaya","Himalaya","OTH",13,"10.9584344161937","1.18630084428752","+","#FDDBC7"
"37","Süddeutsche Zeitung (DEU)","2014","CON_AFR_north","North Africa","CON",30,"48.4395339025813","0.619328832939107","-","#D1E5F0"
"38","Süddeutsche Zeitung (DEU)","2014","OTH_AMR_carai","Caribbean","OTH",16,"27.7731347412008","0.576096294101953","-","#D1E5F0"
"39","Süddeutsche Zeitung (DEU)","2013","ORG_XXX_NATO","NATO","ORG",38,"131.000974819916","0.290074177327595","-","#D1E5F0"
"40","Süddeutsche Zeitung (DEU)","2014","CON_ASI","Asia","CON",51,"135.0343531575","0.377681669941539","-","#D1E5F0"
"41","Süddeutsche Zeitung (DEU)","2014","CON_AMR_north","North America","CON",12,"19.5054730195991","0.615211945280301","-","#D1E5F0"
"42","Süddeutsche Zeitung (DEU)","2014","OTH_EUR_scandinavia","Scandinavia","OTH",5,"9.01086408166242","0.554885741776448","-","#D1E5F0"
"43","Süddeutsche Zeitung (DEU)","2014","CON_ASI_south_east","South-East Asia","CON",13,"32.0560539414183","0.405539622055703","-","#D1E5F0"
"44","Süddeutsche Zeitung (DEU)","2014","OTH_ERA_caucasia","Caucasia","OTH",11,"13.4279610590402","0.819186170680351","-","#D1E5F0"
"45","Süddeutsche Zeitung (DEU)","2013","CON_ASI_south_east","South-East Asia","CON",16,"18.8003366194152","0.851048591517064","-","#D1E5F0"
"46","Süddeutsche Zeitung (DEU)","2013","OTH_AFR_sahara","Sahara","OTH",6,"8.37966595627709","0.716018995423735","-","#D1E5F0"
"47","Süddeutsche Zeitung (DEU)","2013","CON_AFR_centr","Central Africa","CON",12,"5.24903430860757","2.28613480013303","++","#EF8A62"
"48","Süddeutsche Zeitung (DEU)","2014","CON_EUR_south_east","Southeast Europe","CON",7,"3.58109418606783","1.95470982786025","+","#FDDBC7"
"49","Süddeutsche Zeitung (DEU)","2013","OTH_ASI_middle_east","Mid East","OTH",52,"71.9346206606524","0.722878629544836","-","#D1E5F0"
"50","Süddeutsche Zeitung (DEU)","2014","OTH_AMR_anden","Andes","OTH",7,"5.32742646669652","1.31395525471056","+","#FDDBC7"
"51","Süddeutsche Zeitung (DEU)","2014","CON_AMR_south","South America","CON",55,"34.8143142930823","1.57980994647735","+","#FDDBC7"
"52","Süddeutsche Zeitung (DEU)","2013","CON_AMR_south","South America","CON",16,"20.4180099359761","0.783621912721687","-","#D1E5F0"
"53","Süddeutsche Zeitung (DEU)","2014","ORG_ERA_EEU","Eurasian Eco. Un.","ORG",2,"6.70531283294603","0.298270945715337","-","#D1E5F0"
"54","Süddeutsche Zeitung (DEU)","2014","CON_AMR_centr","Central America","CON",1,"12.9938937471668","0.0769592255760933","-","#D1E5F0"
"55","Süddeutsche Zeitung (DEU)","2014","ORG_ASI_CCASG","CCASG","ORG",3,"11.9072543598302","0.251947250755024","-","#D1E5F0"
"56","Süddeutsche Zeitung (DEU)","2013","ORG_EUR_League","Europea League","ORG",76,"40.8933019849842","1.85849506669593","+","#FDDBC7"
"57","Süddeutsche Zeitung (DEU)","2013","OTH_SEA_arctic","Arctic","OTH",35,"12.4634127339131","2.8082196062371","++","#EF8A62"
"58","Süddeutsche Zeitung (DEU)","2014","OTH_SEA_india","Eastern Ocean","OTH",2,"11.1593327224532","0.179222185568129","-","#D1E5F0"
"59","Süddeutsche Zeitung (DEU)","2013","CON_EUR_east","Eastern Europe","CON",22,"19.5274239509613","1.12662069790915","+","#FDDBC7"
"60","Süddeutsche Zeitung (DEU)","2014","CON_EUR_centr","Central Europe","CON",2,"6.91817638237291","0.289093525440588","-","#D1E5F0"
"61","Süddeutsche Zeitung (DEU)","2014","CON_OCE","Oceania","CON",1,"6.78022324652768","0.147487769007035","-","#D1E5F0"
"62","Süddeutsche Zeitung (DEU)","2013","CON_ASI","Asia","CON",45,"79.1953775466371","0.568214981657232","-","#D1E5F0"
"63","Süddeutsche Zeitung (DEU)","2014","CON_ASI_east","East Asia","CON",11,"5.81860754377508","1.89048667009139","+","#FDDBC7"
"64","Süddeutsche Zeitung (DEU)","2014","ORG_XXX_Commonwealth","Commonwealth","ORG",4,"5.30003103410338","0.754712561919308","-","#D1E5F0"
"65","Süddeutsche Zeitung (DEU)","2013","OTH_SEA_mediterranean","Mediterranean","OTH",58,"95.0627877169823","0.610123071213476","-","#D1E5F0"
"66","Süddeutsche Zeitung (DEU)","2014","CON_ASI_south","South Asia","CON",4,"9.52627133374938","0.419891462237583","-","#D1E5F0"
"67","Süddeutsche Zeitung (DEU)","2013","OTH_EUR_alpen","Alps","OTH",45,"41.3369675995444","1.08861396017099","+","#FDDBC7"
"68","Süddeutsche Zeitung (DEU)","2014","OTH_ASI_near_east","Near East","OTH",1,"25.596930448687","0.039067184325271","-","#D1E5F0"
"69","Süddeutsche Zeitung (DEU)","2014","CON_AMR","Americas","CON",2,"3.37739687062578","0.592172041549097","-","#D1E5F0"
"70","Süddeutsche Zeitung (DEU)","2014","OTH_XXX_arab_world","Arab countries","OTH",2,"48.4157331595954","0.041308885964967","-","#D1E5F0"
"71","Süddeutsche Zeitung (DEU)","2013","OTH_ASI_himalaya","Himalaya","OTH",6,"6.42693752084169","0.933570612837422","-","#D1E5F0"
"72","Süddeutsche Zeitung (DEU)","2014","CON_EUR_south","Southern Europe","CON",7,"6.03485290902835","1.15992885088015","+","#FDDBC7"
"73","Süddeutsche Zeitung (DEU)","2013","CON_AFR","Africa","CON",62,"196.306073368619","0.315833325663734","-","#D1E5F0"
"74","Süddeutsche Zeitung (DEU)","2013","ORG_AFR_union","African Union","ORG",12,"11.2230920627946","1.06922405455275","+","#FDDBC7"
"75","Süddeutsche Zeitung (DEU)","2014","OTH_AFR_maghrib","Maghrib","OTH",1,"47.7955964151826","0.020922429575172","-","#D1E5F0"
"76","Süddeutsche Zeitung (DEU)","2014","ORG_ASI_APEC","APEC","ORG",7,"6.81857554758126","1.02660738319209","+","#FDDBC7"
"77","Süddeutsche Zeitung (DEU)","2014","CON_ASI_pacif","Asia Pacific","CON",1,"15.1040760337856","0.0662072938300328","-","#D1E5F0"
"78","Süddeutsche Zeitung (DEU)","2014","CON_ASI_centr","Central Asia","CON",4,"28.9632040786615","0.138106267149738","-","#D1E5F0"
"79","Süddeutsche Zeitung (DEU)","2015","ORG_EUR_EU","EU","ORG",2428,"2017.3180194385","1.20357820462825","+","#FDDBC7"
"80","Süddeutsche Zeitung (DEU)","2015","OTH_EUR_alpen","Alps","OTH",114,"94.6597838391612","1.20431291279621","+","#FDDBC7"
"81","Süddeutsche Zeitung (DEU)","2015","CON_EUR","Europe","CON",1352,"1335.09184512924","1.01266441326299","+","#FDDBC7"
"82","Süddeutsche Zeitung (DEU)","2015","OTH_SEA_mediterranean","Mediterranean","OTH",214,"217.689478909353","0.983051643433402","-","#D1E5F0"
"83","Süddeutsche Zeitung (DEU)","2015","OTH_AMR_carai","Caribbean","OTH",55,"37.2998736111626","1.47453582747638","+","#FDDBC7"
"84","Süddeutsche Zeitung (DEU)","2015","CON_ASI_south_east","South-East Asia","CON",32,"43.0519194764766","0.743288577817875","-","#D1E5F0"
"85","Süddeutsche Zeitung (DEU)","2015","CON_EUR_south","Southern Europe","CON",12,"8.10492776081142","1.48058074718715","+","#FDDBC7"
"86","Süddeutsche Zeitung (DEU)","2015","OTH_EUR_scandinavia","Scandinavia","OTH",26,"12.101770092044","2.14844603741836","++","#EF8A62"
"87","Süddeutsche Zeitung (DEU)","2015","CON_ASI","Asia","CON",125,"181.353828182308","0.689260332979252","-","#D1E5F0"
"88","Süddeutsche Zeitung (DEU)","2015","CON_AFR","Africa","CON",209,"449.532018202342","0.464927950707007","-","#D1E5F0"
"89","Süddeutsche Zeitung (DEU)","2015","ORG_XXX_NATO","NATO","ORG",233,"299.986299897559","0.776702136329446","-","#D1E5F0"
"90","Süddeutsche Zeitung (DEU)","2015","CON_OCE","Oceania","CON",2,"9.10597498293109","0.21963600863707","-","#D1E5F0"
"91","Süddeutsche Zeitung (DEU)","2015","CON_AFR_west","West Africa","CON",35,"37.80090671252","0.925903716177466","-","#D1E5F0"
"92","Süddeutsche Zeitung (DEU)","2013","CON_EUR_centr","Central Europe","CON",4,"4.05739412027406","0.985854437953839","-","#D1E5F0"
"93","Süddeutsche Zeitung (DEU)","2015","OTH_ASI_middle_east","Mid East","OTH",141,"164.727023720155","0.855961558800072","-","#D1E5F0"
"94","Süddeutsche Zeitung (DEU)","2015","OTH_SEA_arctic","Arctic","OTH",24,"28.5406507492212","0.840905843769345","-","#D1E5F0"
"95","Süddeutsche Zeitung (DEU)","2015","CON_ANT","Antarctica","CON",20,"18.2408054227466","1.09644281250101","+","#FDDBC7"
"96","Süddeutsche Zeitung (DEU)","2015","CON_EUR_west","West Europe","CON",19,"20.396496191537","0.931532544686945","-","#D1E5F0"
"97","Süddeutsche Zeitung (DEU)","2015","OTH_ASI_himalaya","Himalaya","OTH",42,"14.7173958758739","2.85376573099118","++","#EF8A62"
"98","Süddeutsche Zeitung (DEU)","2015","OTH_EUR_balkan","Balkans","OTH",119,"46.1622959041942","2.57786138382229","++","#EF8A62"
"99","Süddeutsche Zeitung (DEU)","2013","ORG_AMR_OAS","OAS","ORG",1,"2.83186069978872","0.353124714105679","-","#D1E5F0"
"100","Süddeutsche Zeitung (DEU)","2015","OTH_AFR_maghrib","Maghrib","OTH",2,"64.1904387844181","0.0311572881861261","-","#D1E5F0"
"101","Süddeutsche Zeitung (DEU)","2015","CON_AFR_north","North Africa","CON",29,"65.0552596668024","0.445774871217656","-","#D1E5F0"
"102","Süddeutsche Zeitung (DEU)","2013","CON_AFR_west","West Africa","CON",4,"16.5072725991415","0.242317437721846","-","#D1E5F0"
"103","Süddeutsche Zeitung (DEU)","2015","ORG_EUR_council","Council of Europe","ORG",8,"20.378456217233","0.392571444800358","-","#D1E5F0"
"104","Süddeutsche Zeitung (DEU)","2015","ORG_EUR_League","Europea League","ORG",300,"93.643809673422","3.20362874007619","++","#EF8A62"
"105","Süddeutsche Zeitung (DEU)","2015","CON_AMR_south","South America","CON",55,"46.7563181143129","1.17631161344938","+","#FDDBC7"
"106","Süddeutsche Zeitung (DEU)","2015","CON_EUR_east","Eastern Europe","CON",73,"44.7169165392295","1.63249180958079","+","#FDDBC7"
"107","Süddeutsche Zeitung (DEU)","2015","CON_AMR_north","North America","CON",30,"26.1962391043199","1.14520255676903","+","#FDDBC7"
"108","Süddeutsche Zeitung (DEU)","2015","OTH_AMR_anden","Andes","OTH",8,"7.15483994630816","1.11812424317443","+","#FDDBC7"
"109","Süddeutsche Zeitung (DEU)","2015","CON_AMR_latin","Latin America","CON",37,"43.6723888785369","0.847217222371455","-","#D1E5F0"
"110","Süddeutsche Zeitung (DEU)","2015","CON_ASI_east","East Asia","CON",14,"7.81450592445381","1.79154000717947","+","#FDDBC7"
